ID,N300,N301,N302,N303,N304,N305,N306,N307,N308,N309,N311,N312,N313,N314,N315,N316,N317,N318,N321,N322,N323,N324,N325,N327,N328,N329,N331,N332,N333,N334,N335,N336,N338,N339,N340,N341,N342,N343,N344,N345,N346,N347,N350,N351,N352,N353,N354,N355,N356,N357,N358,N359,N360,N361,N362,N363,N364,N365,N366,N367,N368,N369,N370,N371,N374
N335,1,1,5,1,5,3,1,1,5,1,1,5,1,1,4,4,1,2,2,3,3,3,1,5,5,3,1,2,4,5,6,1,1,1,5,1,1,4,5,1,2,1,1,4,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,4,1
N336,1,1,1,1,1,3,2,1,3,5,1,1,4,1,1,1,2,4,4,1,1,2,1,1,1,3,1,1,1,1,1,6,1,1,1,1,1,2,1,2,4,2,5,2,1,5,1,4,1,1,3,1,2,2,1,1,1,1,1,2,1,3,1,2,1
N338,4,4,2,2,2,1,2,4,1,1,4,1,1,5,1,1,1,2,3,2,1,1,4,2,1,1,5,1,1,1,1,1,6,2,1,4,1,1,1,3,2,3,1,1,4,2,1,1,1,1,3,1,5,1,1,1,1,1,1,3,2,2,1,1,1
N339,1,1,2,2,2,2,2,1,1,2,2,1,2,3,2,2,3,2,2,2,1,2,2,2,1,2,1,3,1,2,1,2,1,6,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,2,3,1,1,3,2,1,3,1,1,1,1
N340,1,1,5,1,2,3,2,1,3,2,1,3,1,1,5,2,2,2,2,2,2,2,1,1,2,4,1,4,5,5,4,2,1,1,6,1,3,2,5,2,2,1,1,2,1,2,2,1,2,2,1,4,1,1,2,1,1,1,2,1,2,1,1,2,1
N341,3,3,1,1,1,1,1,5,1,1,5,1,1,4,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,4,1,1,6,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1
N342,1,1,3,1,3,3,2,1,2,1,1,2,3,1,2,2,5,3,3,2,2,1,1,1,2,3,1,5,2,3,1,2,1,2,3,1,6,2,3,2,2,1,2,1,1,3,1,4,5,4,3,2,4,5,2,2,3,4,2,1,5,1,1,1,1
N343,1,1,3,1,2,2,2,1,5,2,2,3,2,1,2,4,2,2,2,4,4,4,1,3,5,2,1,3,2,3,4,2,1,1,2,1,2,6,3,2,2,1,1,3,1,3,1,1,2,1,3,5,1,1,3,1,3,1,1,1,1,1,1,3,1
N344,2,2,5,2,4,4,2,1,3,2,2,4,3,2,4,3,3,3,3,3,3,4,2,4,3,3,2,3,3,5,4,2,1,1,5,1,2,3,6,3,3,2,2,3,1,2,2,2,3,2,2,3,2,2,2,1,2,2,2,2,2,2,1,3,2
N345,1,1,1,1,1,2,5,1,2,3,2,1,2,2,2,2,1,2,1,2,2,3,1,1,1,1,1,3,2,2,1,1,2,1,1,1,1,2,1,6,1,1,2,3,2,3,1,1,2,2,5,1,1,1,1,1,2,1,1,2,2,5,1,4,1
N346,2,2,2,2,4,2,3,1,4,3,2,3,5,2,4,4,2,5,5,4,3,2,2,2,3,3,2,4,3,3,3,3,2,2,3,1,2,4,3,3,6,3,3,3,1,4,3,3,4,4,3,3,1,3,1,1,3,2,2,2,1,2,1,3,2
N347,2,2,1,4,1,2,2,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,2,3,5,1,1,1,1,1,2,1,6,1,1,2,2,5,1,1,1,1,1,1,1,1,2,1,2,2,4,1,1,1,1,1
N350,2,2,2,2,3,2,2,2,3,5,3,3,3,2,2,2,2,3,4,3,3,3,3,3,4,4,3,3,2,2,3,5,2,2,2,3,2,3,2,2,3,3,6,2,2,4,2,3,2,1,3,2,2,2,3,1,1,2,1,2,2,2,1,2,1
N351,1,1,4,1,4,1,1,1,4,1,1,5,1,1,3,5,2,2,2,4,5,5,1,4,4,1,1,2,2,3,3,2,1,1,3,1,2,4,4,3,3,1,1,6,1,2,1,1,2,1,3,3,2,1,1,1,1,3,1,1,1,2,1,5,1
